"TaxaID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",1942.48795517142,0.640651349110614,0.387955796102016,1.65136395495306,0.098664280331535,0.157987229810131,"DESeq2",0.157987229810131,0.640651349110614,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",853.208591726498,-9.01387341843956,1.39277645953438,-5.40724298890952,6.40022872161856e-08,1.0951502479214e-06,"DESeq2",1.0951502479214e-06,-9.01387341843956,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",1044.51421102248,1.10340761593894,0.325615905777258,3.38881261701795,0.000701959620260399,0.00432407126080406,"DESeq2",0.00432407126080406,1.10340761593894,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",1613.75124295238,-3.68863116952999,0.368705416971888,-9.98256353401238,1.81710331929858e-23,9.32779703906602e-22,"DESeq2",9.32779703906602e-22,-3.68863116952999,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",1076.38187511453,1.5276398937723,0.215613128377955,7.08546990312708,1.38573284813225e-12,3.55671431020611e-11,"DESeq2",3.55671431020611e-11,1.5276398937723,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",1089.21621513943,0.511205040377996,0.214071705439344,2.3880789260097,0.0169367040769387,0.0372607489692652,"DESeq2",0.0372607489692652,0.511205040377996,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",502.312371690421,-0.998821362143367,1.97409115080242,-0.545625091893349,0.5853236727237,0.639289685102481,"DESeq2",0.639289685102481,-0.998821362143367,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",690.87754426953,0.17521049766774,0.371181329953971,0.472043368756831,0.636895833243654,0.676427298755329,"DESeq2",0.676427298755329,0.17521049766774,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",548.724870541684,2.01189933997568,0.136035011958945,14.7912316945112,1.66871927426562e-49,2.56982768236905e-47,"DESeq2",2.56982768236905e-47,2.01189933997568,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",243.48323068423,0.327171700416772,0.18653168123705,1.75415326290354,0.0794042491380553,0.135869492969561,"DESeq2",0.135869492969561,0.327171700416772,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV24",380.829228872071,-1.11974007679072,1.95528277226168,-4.07398974776403,4.62145167893839e-05,0.00044481472409782,"DESeq2",0.00044481472409782,-1.11974007679072,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",1875.46087681147,-1.46174144761097,1.99997291200899,-5.028101210965,4.95360416745448e-07,7.6285504178799e-06,"DESeq2",7.6285504178799e-06,-1.46174144761097,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",340.448665131231,0.957996620554253,0.285884823803065,3.35145823956141,0.000803871621879548,0.00458504554701668,"DESeq2",0.00458504554701668,0.957996620554253,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",252.673976274268,0.0147296442027132,0.222155200620209,0.0663037886364333,0.947135966968909,0.962986223600551,"DESeq2",0.962986223600551,0.0147296442027132,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",270.260320570941,1.54293069263122,0.480400718133647,3.21225652841944,0.00131696722936466,0.0061458470703684,"DESeq2",0.0061458470703684,1.54293069263122,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",165.757344617736,0.638928174767972,0.236191525779773,2.70577788699939,0.00681446074433738,0.0156630888750441,"DESeq2",0.0156630888750441,0.638928174767972,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
