"TaxaID","rab.all","rab.win.control","rab.win.S-3","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",7.01990543969673,7.09074280012298,6.98504120881879,-0.114292740965582,0.51987824355275,-0.174625304777428,0.421875407299039,0.843873750604555,0.999191487743249,0.873958333333332,1,"ALDEx2",0.999191487743249,-0.174625304777428,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV2",5.99855039826692,6.55728218484159,3.16226039735012,-3.35890479764918,0.368627848394916,-7.80529958501637,0.000547999460257121,0.00391784435029668,0.134434404651218,0.133333333333333,0.671073892825956,"ALDEx2",0.134434404651218,-7.80529958501637,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV3",6.3412568963493,6.0660834586447,6.66051332640161,0.583703528718345,0.561090443238022,1.03111035539996,0.07752677328281,0.113326710447428,0.412415916908668,0.0927083333333332,0.260045293336337,"ALDEx2",0.412415916908668,1.03111035539996,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV4",6.88232978096634,7.43839984386337,6.01140695367415,-1.36933098820382,0.36290289184528,-2.50537160026383,0.000547999460257121,0.0240461339826497,0.387101465083157,0.134375,0.672266769170042,"ALDEx2",0.387101465083157,-2.50537160026383,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV5",6.01236721849975,6.01765145342889,6.00445756928153,0.0224111983174264,0.346343600472315,0.0446020121159614,0.457364556151575,0.690462366162985,0.975084569515232,0.747916666666666,0.952423815971481,"ALDEx2",0.975084569515232,0.0446020121159614,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6",6.2235187316849,6.30971943846913,6.14170292081164,-0.165887149818573,0.326305801700079,-0.394941690254347,0.312501109694578,0.630528024190497,0.969077105875102,0.658854166666666,0.997015931372549,"ALDEx2",0.969077105875102,-0.394941690254347,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV9",5.66860961864803,2.93726754399908,5.66860961864803,5.41545174387043,6.90961559129709,0.377807425916048,0.488372151282746,0.253398459571326,0.730731493794392,0.793749999999998,1,"ALDEx2",0.730731493794392,0.377807425916048,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Glaciecola",NA
"ASV13",5.40165306658501,5.64931818360614,5.08874470699849,-0.541552645001379,0.398196018531105,-1.31592403919687,0.0542744309441129,0.117950632211405,0.664701278562509,0.222916666666666,0.796503089101241,"ALDEx2",0.664701278562509,-1.31592403919687,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV20",4.92013532290148,4.74792386389451,6.3533877023206,1.6351265529083,0.339882780593246,4.69137730248986,0.000547999460257121,0.0192857640607119,0.117642822056902,0,0,"ALDEx2",0.117642822056902,4.69137730248986,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV21",4.3430316976159,4.1789377983571,4.97768041615934,0.848039764939526,0.434590578959317,1.86075193950787,0.00789046640005469,0.169805277972586,0.537970316464782,0.00625,0.0195918338229807,"ALDEx2",0.537970316464782,1.86075193950787,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV24",-4.53375408542718,1.95801648802271,-6.23484943249742,-8.67011955227797,8.41355494252921,-0.805651438628813,0.240311858279588,0.266253086157663,0.836951091670869,0.5671875,0.940126336828199,"ALDEx2",0.836951091670869,-0.805651438628813,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV27",0.0221500451321246,3.13082749754183,0.0221500451321246,-0.00513828166421071,8.13111891741144,-0.128653585519077,0.5,0.624133999868226,0.999125776410478,0.806249999999998,1,"ALDEx2",0.999125776410478,-0.128653585519077,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV30",4.40065630913668,4.61233210754207,4.03585461255989,-0.533153471427124,0.403594683840912,-0.937835073783083,0.209304524505175,0.251014177952641,0.835038514641611,0.470833333333333,0.973552085427474,"ALDEx2",0.835038514641611,-0.937835073783083,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",4.48711985999565,4.30547587513533,5.16758317079178,0.889605685351277,0.413702869390784,2.12908023614722,0.000547999460257121,0.0815181840597437,0.317957113714256,0.00104166666666667,0.00360014619883041,"ALDEx2",0.317957113714256,2.12908023614722,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV37",3.59677659723607,3.99759187481742,3.14111352815381,-0.871738063205292,0.598503826797426,-1.18303955883747,0.164065614388277,0.144869507453261,0.71413250664919,0.396875,0.937010527886036,"ALDEx2",0.71413250664919,-1.18303955883747,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",3.5913634867681,3.50609848441188,3.7262669097536,0.216520509809127,0.311103970630707,0.714312917740897,0.195314964938317,0.350940666628009,0.72891052994644,0.25,0.507466995629884,"ALDEx2",0.72891052994644,0.714312917740897,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV40",4.49901072391287,4.32976730427678,4.68738711278585,0.34832107566737,0.39375952535429,0.928898298920315,0.156253315143681,0.216288064784546,0.597928191480152,0.178125,0.404987892548961,"ALDEx2",0.597928191480152,0.928898298920315,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
