"TaxaID","method","score","adjusted_p_value","significant","Names","scores","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV76","LEfSe",-4.55753199858764,0.0364274367944091,TRUE,"ASV76",-4.55753199858764,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV49","LEfSe",-4.19517582609899,0.0520320053111277,TRUE,"ASV49",-4.19517582609899,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV53","LEfSe",-4.1572143449772,0.0433659981150251,TRUE,"ASV53",-4.1572143449772,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV27","LEfSe",-4.15290147988223,0.0382465389940592,TRUE,"ASV27",-4.15290147988223,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA
"ASV1","LEfSe",-4.15065154436295,0.0520320053111277,TRUE,"ASV1",-4.15065154436295,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV175","LEfSe",-4.14072024153021,0.0364274367944091,TRUE,"ASV175",-4.14072024153021,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV236","LEfSe",-3.9982874223982,0.117109068411143,TRUE,"ASV236",-3.9982874223982,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV3","LEfSe",-3.89292758558775,0.0761110769301487,TRUE,"ASV3",-3.89292758558775,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV6","LEfSe",-3.89030437777857,0.0382465389940592,TRUE,"ASV6",-3.89030437777857,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV81","LEfSe",-3.83308048947019,0.0364274367944091,TRUE,"ASV81",-3.83308048947019,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV160","LEfSe",-3.77216820326519,0.0382465389940592,TRUE,"ASV160",-3.77216820326519,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV5","LEfSe",-3.75991339813474,0.117109068411143,TRUE,"ASV5",-3.75991339813474,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV56","LEfSe",-3.68539971398099,0.0773777073481033,TRUE,"ASV56",-3.68539971398099,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV442","LEfSe",-3.62403144826904,0.0382465389940592,TRUE,"ASV442",-3.62403144826904,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei"
"ASV13","LEfSe",-3.60865775921651,0.117109068411143,TRUE,"ASV13",-3.60865775921651,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV111","LEfSe",-3.58074748408263,0.117109068411143,TRUE,"ASV111",-3.58074748408263,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV66","LEfSe",-3.56965495654,0.146154235206097,TRUE,"ASV66",-3.56965495654,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV20","LEfSe",-3.54194462398098,0.0382465389940592,TRUE,"ASV20",-3.54194462398098,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV1218","LEfSe",-3.53315714254495,0.0382465389940592,TRUE,"ASV1218",-3.53315714254495,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus"
"ASV667","LEfSe",3.52542774236828,0.117109068411143,TRUE,"ASV667",3.52542774236828,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA
"ASV178","LEfSe",3.54083497391766,0.149291486125221,TRUE,"ASV178",3.54083497391766,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV670","LEfSe",3.8669344504724,0.117109068411143,TRUE,"ASV670",3.8669344504724,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","Luminiphilus",NA
"ASV102","LEfSe",4.29650268624212,0.117109068411143,TRUE,"ASV102",4.29650268624212,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV120","LEfSe",4.30266844383912,0.149291486125221,TRUE,"ASV120",4.30266844383912,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
