"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1","DESeq2",1942.48795517142,0.640651349110614,0.387955796102016,1.65136395495306,0.098664280331535,0.157987229810131,"deseq2",0.157987229810131,0.640651349110614,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.080829856213963,0.0630696114062063,"control",0.080829856213963,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.80137801587552
"ASV1013","DESeq2",44.8242757307217,-3.05171342784085,1.93749754239267,-1.9655340895627,0.0493524541309172,0.101337039148817,"deseq2",0.101337039148817,-3.05171342784085,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00251982079076456,0,"control",0.00251982079076456,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",0.99423178901432
"ASV104","DESeq2",56.4813630970679,-0.0309171548855255,0.569829043237325,-0.0542536635132071,0.956733066304444,0.962986223600551,"deseq2",0.962986223600551,-0.0309171548855255,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.0026768482020451,0.00128599384959463,"control",0.0026768482020451,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,"NS2b marine group",0.0163799258111428
"ASV108","DESeq2",119.560063284356,0.399418130933311,0.262751062460429,1.52051177422618,0.128382401814051,0.195751384944197,"deseq2",0.195751384944197,0.399418130933311,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00502526323510365,0.00341067934022924,"control",0.00502526323510365,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",0.708295156618705
"ASV111","DESeq2",156.307345438243,0.74912905125983,0.454892197754208,1.64722680114289,0.0995114369583292,0.157987229810131,"deseq2",0.157987229810131,0.74912905125983,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00641035148628548,0.00536762650265586,"control",0.00641035148628548,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.80137801587552
"ASV113","DESeq2",108.750412620717,-0.476671590461972,0.340788746398011,-1.39798161286051,0.162118588805158,0.23553077996221,"deseq2",0.23553077996221,-0.476671590461972,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00513222415700293,0.00190103438635728,"control",0.00513222415700293,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,"Cyanobium PCC-6307",0.627952329748489
"ASV115","DESeq2",68.2375501142942,1.16456792075344,0.562654305900132,2.07121763673868,0.0383384621422952,0.0808783995878556,"deseq2",0.0808783995878556,1.16456792075344,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00241544796358166,0.00285155157953592,"contrast",0.00285155157953592,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,"Candidatus Actinomarina",1.09216745109955
"ASV116","DESeq2",66.3757985214026,-2.47904546342799,1.98447722677555,-1.92085875381079,0.0547495169208551,0.106626997283966,"deseq2",0.106626997283966,-2.47904546342799,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00316540418337923,0,"control",0.00316540418337923,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,"Sedimentitalea",0.972132820759649
"ASV1165","DESeq2",46.2561283501033,-1.10876766100178,1.95339859994108,-1.27758452584869,0.201395959540505,0.276919444368194,"deseq2",0.276919444368194,-1.10876766100178,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00197160879319425,0,"control",0.00197160879319425,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA,NA,0.557646548460534
"ASV120","DESeq2",80.9961962223826,6.89954862276874,0.820379726957471,8.34209174124764,7.29877925159057e-17,2.2480240094899e-15,"deseq2",2.2480240094899e-15,6.89954862276874,TRUE,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.000129013059060784,0.00911378249930109,"contrast",0.00911378249930109,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA,"Rubripirellula",14.6481990546985
