"TaxaID","method","score","adjusted_p_value","significant","Names","scores","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV76","LEfSe",-4.60264945547815,0.0832645166635506,TRUE,"ASV76",-4.60264945547815,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV49","LEfSe",-4.39556986550197,0.0832645166635506,TRUE,"ASV49",-4.39556986550197,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV24","LEfSe",-4.33439757007428,0.0832645166635506,TRUE,"ASV24",-4.33439757007428,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV53","LEfSe",-4.3201589662418,0.0832645166635506,TRUE,"ASV53",-4.3201589662418,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV175","LEfSe",-4.22241875448876,0.0832645166635506,TRUE,"ASV175",-4.22241875448876,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV1","LEfSe",-4.12386699350157,0.0832645166635506,TRUE,"ASV1",-4.12386699350157,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV3","LEfSe",-3.9856208213991,0.0832645166635506,TRUE,"ASV3",-3.9856208213991,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV383","LEfSe",-3.96417751972678,0.0832645166635506,TRUE,"ASV383",-3.96417751972678,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV223","LEfSe",-3.93363524711978,0.0832645166635506,TRUE,"ASV223",-3.93363524711978,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA
"ASV319","LEfSe",-3.89633847303798,0.0832645166635506,TRUE,"ASV319",-3.89633847303798,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleispira",NA
"ASV160","LEfSe",-3.88746409399612,0.0832645166635506,TRUE,"ASV160",-3.88746409399612,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV795","LEfSe",-3.88073751595912,0.0832645166635506,TRUE,"ASV795",-3.88073751595912,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",NA
"ASV81","LEfSe",-3.87521245147496,0.0832645166635506,TRUE,"ASV81",-3.87521245147496,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV5","LEfSe",-3.85035169459483,0.0832645166635506,TRUE,"ASV5",-3.85035169459483,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV6","LEfSe",-3.84387267535738,0.0832645166635506,TRUE,"ASV6",-3.84387267535738,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV56","LEfSe",-3.76663111719667,0.0832645166635506,TRUE,"ASV56",-3.76663111719667,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV1133","LEfSe",-3.75887835352447,0.0832645166635506,TRUE,"ASV1133",-3.75887835352447,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV714","LEfSe",-3.68201266886504,0.0832645166635506,TRUE,"ASV714",-3.68201266886504,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA
"ASV442","LEfSe",-3.65872588250023,0.0832645166635506,TRUE,"ASV442",-3.65872588250023,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei"
"ASV50","LEfSe",-3.65677267217827,0.0832645166635506,TRUE,"ASV50",-3.65677267217827,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV1194","LEfSe",-3.64272472719887,0.0832645166635506,TRUE,"ASV1194",-3.64272472719887,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV651","LEfSe",-3.63016696095099,0.0832645166635506,TRUE,"ASV651",-3.63016696095099,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"ASV1253","LEfSe",-3.62754545828225,0.0832645166635506,TRUE,"ASV1253",-3.62754545828225,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA
"ASV1328","LEfSe",-3.62175591064136,0.0832645166635506,TRUE,"ASV1328",-3.62175591064136,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1233","LEfSe",-3.60383258629144,0.0832645166635506,TRUE,"ASV1233",-3.60383258629144,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
