"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S.3","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1","DESeq2",2137.56353063723,-0.36305471291441,0.249350920536163,-1.45599908808741,0.14539287169984,0.200296473600479,"deseq2",0.200296473600479,-0.36305471291441,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Clade Ia","Not Significant"
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.999191487743249,-0.174625304777428,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,7.01990543969673,7.09074280012298,6.98504120881879,-0.114292740965582,0.51987824355275,-0.174625304777428,0.421875407299039,0.843873750604555,0.999191487743249,0.873958333333332,1,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Clade Ia","Not Significant"
"ASV1013","DESeq2",48.2408390939971,-8.7945949778125,2.71350115790039,-3.24105075548132,0.00119089978075004,0.00320312953884099,"deseq2",0.00320312953884099,-8.7945949778125,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
"ASV1013","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.667385673014206,-1.17055078243519,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,0.184630018663668,2.57035547945079,-6.47168534498308,-7.87599263551389,5.21827791924969,-1.17055078243519,0.124035339300607,0.142700478231069,0.667385673014206,0.323958333333333,0.878850835400509,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
"ASV104","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0640775064510595,3.60249272907604,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV104",3.60249272907604,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,"NS2b marine group","Significant"
"ASV104","DESeq2",126.749313521041,1.58327780761227,0.32049243548661,4.94014095904744,7.80661152141913e-07,2.84796753651772e-06,"deseq2",2.84796753651772e-06,1.58327780761227,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,"NS2b marine group","Significant"
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.079807076845181,3.42016820366038,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,2.48785399604371,2.12687882625376,4.03833267470992,1.88744674683523,0.542922365398811,3.42016820366038,0.000547999460257121,0.00960098530690567,0.079807076845181,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE,"NS2b marine group","Significant"
"ASV108","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.877375468542181,-0.792532646075347,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,3.03231746603662,3.17423639426877,2.8157373389146,-0.330514670111743,0.395768464508809,-0.792532646075347,0.210939708203646,0.374688766745245,0.877375468542181,0.513020833333333,0.959526816648956,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ia","Significant"
"ASV108","DESeq2",132.059002985273,-0.584983447523001,0.137219571431411,-4.26311962222827,2.01592527473016e-05,6.40543998583617e-05,"deseq2",6.40543998583617e-05,-0.584983447523001,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ia","Significant"
"ASV1097","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0792375284273946,3.40008901181616,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","algarum",-4.68315801108595,-6.41502538087297,2.14633891634635,8.70351634780482,2.57722505163999,3.40008901181616,0.000547999460257121,0.010353200958219,0.0792375284273946,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Lentibacter","Significant"
