"TaxaID","method","score","adjusted_p_value","significant","Names","scores","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV4","LEfSe",-4.35831555986981,0.0640775064510595,TRUE,"ASV4",-4.35831555986981,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV2","LEfSe",-4.34152587758238,0.0640775064510595,TRUE,"ASV2",-4.34152587758238,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus"
"ASV141","LEfSe",-3.62764890902496,0.0640775064510595,TRUE,"ASV141",-3.62764890902496,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV13","LEfSe",-3.54750438278362,0.0640775064510595,TRUE,"ASV13",-3.54750438278362,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV185","LEfSe",3.52771694925703,0.0640775064510595,TRUE,"ASV185",3.52771694925703,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SCGC AAA164-E04",NA
"ASV73","LEfSe",3.56656001712006,0.0640775064510595,TRUE,"ASV73",3.56656001712006,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA
"ASV115","LEfSe",3.59004053489726,0.0640775064510595,TRUE,"ASV115",3.59004053489726,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV178","LEfSe",3.59862950842485,0.0640775064510595,TRUE,"ASV178",3.59862950842485,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV138","LEfSe",3.62022978234886,0.0640775064510595,TRUE,"ASV138",3.62022978234886,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV206","LEfSe",3.62364439434516,0.0640775064510595,TRUE,"ASV206",3.62364439434516,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV104","LEfSe",3.62554564000657,0.0640775064510595,TRUE,"ASV104",3.62554564000657,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA
"ASV71","LEfSe",3.6406540929953,0.0640775064510595,TRUE,"ASV71",3.6406540929953,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV69","LEfSe",3.68672529301554,0.0640775064510595,TRUE,"ASV69",3.68672529301554,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV5","LEfSe",3.77218503208968,0.0640775064510595,TRUE,"ASV5",3.77218503208968,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV21","LEfSe",3.88329753340413,0.0640775064510595,TRUE,"ASV21",3.88329753340413,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA
"ASV20","LEfSe",3.96937435063274,0.0640775064510595,TRUE,"ASV20",3.96937435063274,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA
"ASV34","LEfSe",4.06468618756908,0.0640775064510595,TRUE,"ASV34",4.06468618756908,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
